기준_년분기_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,자치구,행정동,상권명,상권분류,면적(㎡),검색어,위도,경도,연도,일평균_매출_금액,일최대_매출_금액,일평균_매출_건수,일최대_매출_건수,총점
20201,노래방,33760952,567,17746287,마포구,망원2동,마포구청역 7번,골목상권,123656,서울 마포구 망원2동 마포구청역 7번,37.56291214,126.9031705,2020,4822993.143,8520513,81,127,5
20201,슈퍼마켓,11600763,1608,6699229,마포구,망원2동,마포구청역 7번,골목상권,123656,서울 마포구 망원2동 마포구청역 7번,37.56291214,126.9031705,2020,1657251.857,2489767,229.7142857,323,6
20201,편의점,343310602,60179,260292314,마포구,망원2동,마포구청역 7번,골목상권,123656,서울 마포구 망원2동 마포구청역 7번,37.56291214,126.9031705,2020,49044371.71,55973707,8597,9647,8
20201,화장품,929143,70,830298,마포구,망원2동,마포구청역 7번,골목상권,123656,서울 마포구 망원2동 마포구청역 7번,37.56291214,126.9031705,2020,132734.7143,336073,10,20,4
20201,조명용품,57189449,2593,44845186,마포구,망원2동,마포구청역 7번,골목상권,123656,서울 마포구 망원2동 마포구청역 7번,37.56291214,126.9031705,2020,8169921.286,23222998,370.4285714,677,1
20201,전자상거래업,100318,5,0,마포구,망원2동,마포구청역 7번,골목상권,123656,서울 마포구 망원2동 마포구청역 7번,37.56291214,126.9031705,2020,14331.14286,100318,0.714285714,5,4
20201,커피-음료,11822359,2214,8783498,마포구,성산2동,중암중학교,골목상권,21216,서울 마포구 성산2동 중암중학교,37.57216601,126.9039623,2020,1688908.429,2125326,316.2857143,389,8
20201,한식음식점,4150945846,131553,2729384813,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,592992263.7,753332539,18793.28571,22744,6
20201,중식음식점,26808807,486,14041102,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,3829829.571,7689481,69.42857143,133,4
20201,양식음식점,500530267,13224,310899852,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,71504323.86,136243077,1889.142857,3689,4
20201,제과점,234931038,27341,143267195,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,33561576.86,47996533,3905.857143,5583,7
20201,패스트푸드점,115118023,10631,71057491,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,16445431.86,22474402,1518.714286,2130,9
20201,치킨전문점,132549308,5027,86671052,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,18935615.43,23717060,718.1428571,929,8
20201,분식전문점,314425852,47722,209758186,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,44917978.86,53500884,6817.428571,7775,8
20201,호프-간이주점,177452449,4938,115082130,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,25350349.86,35293122,705.4285714,928,8
20201,커피-음료,451193703,56468,280310691,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,64456243.29,97495618,8066.857143,12582,8
20201,일반교습학원,59558232,193,59558232,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,8508318.857,28093506,27.57142857,96,0
20201,예술학원,12745099,217,5777778,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,1820728.429,4444445,31,84,0
20201,일반의원,534143396,42761,459938191,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,76306199.43,117436422,6108.714286,8466,0
20201,치과의원,392192105,4905,386458083,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,56027443.57,99584856,700.7142857,1144,0
20201,당구장,5637376,372,3020391,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,805339.4286,1655009,53.14285714,103,4
20201,스포츠클럽,72286174,2492,68120193,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,10326596.29,25714592,356,579,0
20201,자동차수리,135538881,847,108125247,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,19362697.29,31365010,121,179,1
20201,미용실,298412827,6243,191033674,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,42630403.86,72503104,891.8571429,1213,2
20201,피부관리실,30085317,54,10935878,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,4297902.429,10962416,7.714285714,24,2
20201,세탁소,33371914,1900,23738450,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,4767416.286,9633464,271.4285714,561,2
20201,노래방,142192123,2804,88181806,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,20313160.43,33293928,400.5714286,670,5
20201,슈퍼마켓,201225122,19588,137948010,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,28746446,35165465,2798.285714,3354,6
20201,편의점,2160693095,306177,1502656232,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,308670442.1,340841259,43739.57143,46813,8
20201,컴퓨터및주변장치판매,26721451,74,26721451,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,3817350.143,26721451,10.57142857,74,1
20201,미곡판매,18096935,564,12375270,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,2585276.429,8582499,80.57142857,130,1
20201,육류판매,855669115,22822,642842527,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,122238445,170983756,3260.285714,3869,3
20201,청과상,692136398,61107,458801172,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,98876628.29,133513052,8729.571429,11644,4
20201,반찬가게,39299500,8997,33804638,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,5614214.286,8836763,1285.285714,1927,7
20201,일반의류,210433003,3738,139263131,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,30061857.57,50287688,534,877,1
20201,의약품,629246643,65349,531891044,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,89892377.57,114945562,9335.571429,12107,3
20201,서적,25982524,1418,16774032,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,3711789.143,9208492,202.5714286,510,1
20201,문구,9000000,921,5597147,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,1285714.286,2446909,131.5714286,228,1
20201,화장품,2756282,117,2756282,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,393754.5714,1755594,16.71428571,58,4
20201,자전거 및 기타운송장비,5785762,176,2747724,마포구,망원1동,망리단길,골목상권,311648,서울 마포구 망원1동 망리단길,37.55365752,126.9059145,2020,826537.4286,1972782,25.14285714,58,1
